"best score","best length","iteration","time","try"
"8024.338921683589","460","44","32.543","0"
"8063.518269399636","459","124","99.457","1"
"8045.063895296433","459","115","91.64","2"
"7624.195260511813","461","18","14.183","3"
"7868.117337664211","460","51","36.723","4"
"8092.077257252917","459","177","70.349","5"
"8092.077257252917","459","271","82.409","6"
"7868.117337664211","460","110","33.371","7"
"7868.117337664211","460","212","68.385","8"
"8092.077257252917","459","222","67.667","9"
"8092.077257252917","459","269","81.771","10"
"8092.077257252917","459","221","67.294","11"
"8114.016457900547","460","23","6.843","12"
"8065.316512285517","459","264","80.545","13"
"7896.969814577114","465","23","6.86","14"
"8092.077257252917","459","42","12.676","15"
"7882.730074217921","460","248","75.616","16"
"8092.077257252917","459","44","13.292","17"
"7891.31740033739","465","17","5.044","18"
"8114.016457900547","460","321","98.025","19"
"8106.209648675984","459","151","45.97","20"
"7886.688382819404","467","48","14.519","21"
"8024.338921683589","460","201","61.151","22"
"8106.209648675984","459","44","13.33","23"
"7868.117337664211","460","34","10.244","24"
"8092.077257252917","459","183","56.511","25"
"8092.077257252917","459","305","92.959","26"
"7989.613287977307","463","68","20.77","27"
"8024.338921683589","460","178","54.415","28"
"8044.676363977513","459","323","98.631","29"
