"best score","best length","iteration","time","try"
"40697.350339644036","595","63","90.761","0"
"43647.541435012376","598","77","94.479","1"
"42340.38757241682","596","54","65.876","2"
"43541.65976400158","595","72","88.048","3"
"42742.678274153106","591","69","84.397","4"
"42148.74705183823","586","63","77.802","5"
"43067.66397596145","589","77","95.083","6"
"42157.33340810638","598","48","59.162","7"
"41796.11362043381","593","20","23.929","8"
"40705.69630456694","590","78","98.753","9"
"42737.66502465357","594","47","58.838","10"
"44034.14245185687","590","63","76.45","11"
"40939.55143682884","585","49","61.259","12"
"41960.07393950794","595","28","34.033","13"
"43506.70381191978","586","46","56.714","14"
"43113.546186824504","589","49","59.953","15"
"45308.102113887144","591","61","75.818","16"
"43324.18224587799","586","50","62.624","17"
"43429.12888259707","590","79","98.854","18"
"43506.70381191978","586","66","82.696","19"
"43629.45787960333","589","72","88.589","20"
"39344.96620432391","593","18","21.335","21"
"42149.199868305586","593","52","64.407","22"
"44309.99633215189","592","78","95.699","23"
"38944.47936783328","592","25","30.036","24"
"41833.44019451129","599","22","26.267","25"
"43489.806123512","588","53","64.274","26"
"43058.08395831434","589","70","85.599","27"
"43783.30290357451","591","67","81.663","28"
"42610.651342041616","586","59","71.934","29"
